	year	duration_min	rating	name_rus	director	name_eng	vote_count	main_actors
35	2012	97	7.502999999999999	Сейчас или никогда	Трэвис Файн	Any Day Now	634	['Алан Камминг', 'Гаррет Диллахант']
36	2012	115	7.501	Связи нет	Генри Алекс Рубин	Disconnect	13812	['Джейсон Бейтман', 'Хоуп Дэвис']
37	2016	107	7.477	Ветреная река	Тейлор Шеридан	Wind River	14919	['Джереми Реннер', 'Элизабет Олсен']
38	2012	91	7.476	Ай Вейвей: Никогда не извиняйся	Элисон Клаймен	Ai Weiwei: Never Sorry	976	['Ай Вейвей', 'Ай Дань']
39	2015	124	7.475	Левша	Антуан Фукуа	Southpaw	65884	['Джейк Джилленхол', 'Рэйчел МакАдамс']
40	2012	116	7.47	Самый пьяный округ в мире	Джон Хиллкоут	Lawless	86884	['Шайа ЛаБаф', 'Том Харди']
41	2015	128	7.4670000000000005	В центре внимания	Том МакКарти	Spotlight	59947	['Марк Руффало', 'Майкл Китон']
42	2013	121	7.46	Август	Джон Уэллс	August: Osage County	31049	['Мэрил Стрип', 'Джулия Робертс']
43	2012	97	7.446000000000001	Застрял в любви	Джош Бун	Stuck in Love	16799	['Грег Киннир', 'Дженнифер Коннелли']
44	2012	138	7.44	Экипаж	Роберт Земекис	Flight	62902	['Дензел Вашингтон', 'Келли Райлли']
45	2013	101	7.437	Хоть раз в жизни	Джон Карни	Begin again	40669	['Кира Найтли', 'Марк Руффало']
46	2017	137	7.425	Логан	Джеймс Мэнголд	Logan	116617	['Хью Джекман', 'Патрик Стюарт']
47	2014	150	7.422999999999999	Рейд 2	Гарет Эванс	The Raid 2: Berandal	29634	['Ико Уайс', 'Арифин Путра']
48	2014	105	7.422999999999999	Неуправляемый	Уильям Х. Мэйси	Rudderless	3520	['Билли Крудап', 'Антон Ельчин']
49	2014	166	7.419	Отрочество	Ричард Линклейтер	Boyhood	37927	['Эллар Колтрейн', 'Итан Хоук']
50	2013	118	7.403	Выживут только любовники	Джим Джармуш	Only Lovers Left Alive	55007	['Тильда Суинтон', 'Том Хиддлстон']
51	2012	86	7.395	Милая Фрэнсис	Ноа Баумбак	Frances Ha	11259	['Грета Гервиг', 'Мики Самнер']
52	2013	112	7.379	Заклятие	Джеймс Ван	The Conjuring	85199	['Вера Фармига', 'Патрик Уилсон']
53	2013	101	7.374	Клуб 'CBGB'	Рэндолл Миллер	CBGB	2960	['Алан Рикман', 'Малин Акерман']
54	2016	128	7.371	Расплата	Гэвин О’Коннор	The Accountant	61431	['Бен Аффлек', 'Анна Кендрик']
55	2014	85	7.37	Реальные упыри	Джемейн Клемент	What We Do in the Shadows	43177	['Джемейн Клемент', 'Тайка Вайтити']
56	2016	108	7.365	Gimme Danger. История Игги и The Stooges	Джим Джармуш	Gimme Danger	1123	['Юэн МакГрегор', 'Игги Поп']
57	2014	134	7.36	Ярость	Дэвид Эйр	Fury	85069	['Брэд Питт', 'Логан Лерман']
58	2012	140	7.351	Место под соснами	Дерек Сиенфрэнс	The Place Beyond the Pines	64215	['Райан Гослинг', 'Брэдли Купер']
59	2013	118	7.343999999999999	Стрингер	Дэн Гилрой	Nightcrawler	54433	['Джейк Джилленхол', 'Рене Руссо']
60	2014	103	7.341	Ты не ты	Джордж С. Вольф	You're Not You	6496	['Хилари Суэнк', 'Эмми Россам']
61	2015	124	7.334	Трамбо	Джей Роуч	Trumbo	16624	['Брайан Крэнстон', 'Дайан Лэйн']
62	2016	126	7.332999999999999	Мисс Слоун	Джон Мэдден	Miss Sloane	4714	['Джессика Честейн', 'Гугу Эмбата-Ро']
63	2012	99	7.31	Развод в большом городе	Скотт МакГихи	What Maisie Knew	4522	['Оната Април', 'Александр Скарсгард']
64	2013	110	7.269	Мы – Миллеры	Роусон Маршалл Тёрбер	We're the Millers	138984	['Дженнифер Энистон', 'Джейсон Судейкис']
65	2017	120	7.263999999999999	Выстрел в пустоту	Рик Роман Во	Shot Caller	17894	['Николай Костер-Вальдау', 'Джон Бернтал']
66	2015	130	7.263	Игра на понижение	Адам МакКей	The Big Short	67555	['Кристиан Бэйл', 'Стив Карелл']
67	2014	114	7.261	Citizenfour: Правда Сноудена	Лора Пойтрас	Citizenfour	8062	['Эдвард Сноуден', 'Гленн Гринвальд']
68	2017	112	7.26	Малыш на драйве	Эдгар Райт	Baby Driver	47726	['Энсел Элгорт', 'Кевин Спейси']
69	2016	116	7.2589999999999995	Под покровом ночи	Том Форд	Nocturnal Animals	60218	['Эми Адамс', 'Джейк Джилленхол']
70	2013	96	7.256	Короткий срок 12	Дестин Креттон	Short Term 12	5991	['Бри Ларсон', 'Джон Галлахер мл.']
71	2016	137	7.233	Манчестер у моря	Кеннет Лонерган	Manchester by the Sea	31021	['Кейси Аффлек', 'Бен О’Брайэн']
72	2016	118	7.233	Патерсон	Джим Джармуш	Paterson	16916	['Адам Драйвер', 'Голшифте Фарахани']
73	2013	95	7.224	Тревожный вызов	Брэд Андерсон	The Call	45248	['Холли Берри', 'Эбигейл Бреслин']
74	2017	115	7.224	Сделано в Америке	Даг Лайман	American Made	7237	['Том Круз', 'Донал Глисон']
75	2014	91	7.22	Комета	Сэм Эсмейл	Comet	3255	['Джастин Лонг', 'Кайла Серви']
76	2012	104	7.199	Руби Спаркс	Джонатан Дэйтон	Ruby Sparks	28967	['Пол Дано', 'Зои Казан']
77	2012	120	7.195	Мой парень – псих	Дэвид О. Расселл	Silver Linings Playbook	130839	['Брэдли Купер', 'Дженнифер Лоуренс']
78	2015	120	7.186	Робот по имени Чаппи	Нил Бломкамп	Chappie	103918	['Шарлто Копли', 'Дев Патель']
79	2017	141	7.186	Kingsman: Золотое кольцо	Мэттью Вон	Kingsman: The Golden Circle	33909	['Тэрон Эджертон', 'Колин Фёрт']
80	2017	119	7.185	Любовь – болезнь	Майкл Шоуолтер	The Big Sick	814	['Холли Хантер', 'Зои Казан']
81	2014	115	7.16	Дикая	Жан-Марк Валле	Wild	37507	['Риз Уизерспун', 'Лора Дерн']
82	2014	106	7.147	Хотел бы я быть здесь	Зак Брафф	Wish I Was Here	32667	['Зак Брафф', 'Кейт Хадсон']
83	2015	131	7.138	Легенда	Брайан Хелгеленд	Legend	67435	['Том Харди', 'Эмили Браунинг']
84	2016	102	7.138	Любой ценой	Дэвид Маккензи	Hell or High Water	36424	['Джефф Бриджес', 'Крис Пайн']
85	2012	97	7.136	Значит, война	МакДжи	This Means War	103612	['Том Харди', 'Крис Пайн']
86	2015	113	7.117999999999999	Макбет	Джастин Курзель	Macbeth	23304	['Майкл Фассбендер', 'Марион Котийяр']
87	2012	113	7.117000000000001	Американский пирог: Все в сборе	Джон Харвитц	American Reunion	70826	['Джейсон Биггз', 'Элисон Хэннигэн']
88	2013	115	7.1129999999999995	План побега	Микаэль Хофстрём	Escape Plan	69706	['Сильвестр Сталлоне', 'Арнольд Шварценеггер']
89	2013	116	7.1129999999999995	Уцелевший	Питер Берг	Lone Survivor	36081	['Марк Уолберг', 'Тейлор Китч']
90	2015	0	7.108	Хардкор	Илья Найшуллер	96 мин	61987	['Шарлто Копли', 'Данила Козловский']
91	2015	119	7.105	Шпион	Пол Фиг	Spy	90864	['Мелисса МакКарти', 'Джейсон Стэйтем']
92	2015	106	7.103	Конец тура	Джеймс Понсольдт	The End of the Tour	5553	['Джесси Айзенберг', 'Джейсон Сигел']
93	2016	161	7.093	Молчание	Мартин Скорсезе	Silence	17511	['Эндрю Гарфилд', 'Адам Драйвер']
94	2014	101	7.085	Тронутые	Грен Уэллс	The Road Within	13928	['Роберт Шиэн', 'Дев Патель']
95	2017	101	7.082000000000001	Хорошее время	Бен Сэфди	Good Time	15362	['Роберт Паттинсон', 'Бен Сэфди']
96	2016	115	7.079	Славные парни	Шейн Блэк	The Nice Guys	79165	['Райан Гослинг', 'Ким Бейсингер']
97	2014	102	7.065	Второй шанс	Дэн Фогельман	Danny Collins	8940	['Аль Пачино', 'Аннетт Бенинг']
98	2016	133	7.061	Заклятие 2	Джеймс Ван	The Conjuring 2	41368	['Патрик Уилсон', 'Вера Фармига']
99	2017	92	7.059	История призрака	Дэвид Лоури	A Ghost Story	1305	['Кейси Аффлек', 'Руни Мара']
100	2016	121	7.053999999999999	Союзники	Роберт Земекис	Allied	45923	['Брэд Питт', 'Марион Котийяр']
101	2014	104	7.053	Фокус	Гленн Фикарра	Focus	98296	['Уилл Смит', 'Марго Робби']
102	2013	109	7.042999999999999	Два ствола	Бальтасар Кормакур	2 Guns	52459	['Дензел Вашингтон', 'Марк Уолберг']
103	2015	121	7.042999999999999	Убийца	Дени Вильнёв	Sicario	43487	['Эмили Блант', 'Бенисио Дель Торо']
104	2015	101	7.042000000000001	Разрушение	Жан-Марк Валле	Demolition	37432	['Джейк Джилленхол', 'Наоми Уоттс']
105	2013	90	7.0329999999999995	Станция 'Фрутвейл'	Райан Куглер	Fruitvale Station	4516	['Майкл Б. Джордан', 'Мелони Диас']
106	2013	103	7.031000000000001	Убей своих любимых	Джон Крокидас	Kill Your Darlings	21642	['Дэниэл Рэдклифф', 'Дэйн ДеХаан']
107	2013	95	7.026	Фрэнк	Леонард Абрахамсон	Frank	20807	['Донал Глисон', 'Мэгги Джилленхол']
108	2012	88	7.022	Проект X: Дорвались	Нима Нуризаде	Project X	86631	['Томас Манн', 'Оливер Купер']
109	2012	124	7.017	Прометей	Ридли Скотт	Prometheus	139991	['Нуми Рапас', 'Майкл Фассбендер']
110	2012	110	7.016	Мачо и ботан	Фил Лорд	21 Jump Street	119843	['Джона Хилл', 'Ченнинг Татум']
111	2013	113	7.013	Охотники на гангстеров	Рубен Фляйшер	Gangster Squad	62803	['Джош Бролин', 'Райан Гослинг']
112	2012	112	7.002999999999999	Римские приключения	Вуди Аллен	To Rome with Love	32987	['Вуди Аллен', 'Алек Болдуин']
113	2013	101	6.995	Побочный эффект	Стивен Содерберг	Side Effects	68409	['Джуд Лоу', 'Руни Мара']
114	2014	116	6.994	Отцы и дочери	Габриэле Муччино	Fathers & Daughters	7179	['Рассел Кроу', 'Аманда Сайфред']
115	2012	103	6.989	Неудержимые 2	Саймон Уэст	The Expendables 2	85036	['Сильвестр Сталлоне', 'Джейсон Стэйтем']
116	2012	118	6.9879999999999995	Петля времени	Райан Джонсон	Looper	123650	['Джозеф Гордон-Левитт', 'Брюс Уиллис']
117	2012	105	6.973	Прощальный квартет	Ярон Зильберман	A Late Quartet	1025	['Кэтрин Кинер', 'Кристофер Уокен']
118	2017	101	6.959	Статус Брэда	Майк Уайт	Brad's Status	837	['Бен Стиллер', 'Остин Абрамс']
119	2014	90	6.957000000000001	Бесконечно белый медведь	Майя Форбс	Infinitely Polar Bear	3043	['Марк Руффало', 'Зои Салдана']
120	2014	131	6.9479999999999995	Великий уравнитель	Антуан Фукуа	The Equalizer	66986	['Дензел Вашингтон', 'Мартон Чокаш']
121	2012	104	6.947	Внутри Льюина Дэвиса	Итан Коэн	Inside Llewyn Davis	23062	['Оскар Айзек', 'Кэри Маллиган']
122	2014	132	6.939	Снайпер	Клинт Иствуд	American Sniper	55080	['Брэдли Купер', 'Сиенна Миллер']
123	2016	163	6.917999999999999	Американская милашка	Андреа Арнольд	American Honey	2739	['Саша Лэйн', 'Шайа ЛаБаф']
124	2013	138	6.915	Афера по-американски	Дэвид О. Расселл	American Hustle	84822	['Кристиан Бэйл', 'Эми Адамс']
125	2014	114	6.912000000000001	Повар на колесах	Джон Фавро	Chef	36588	['Джон Фавро', 'София Вергара']
126	2013	111	6.899	Малавита	Люк Бессон	The Family	74353	['Роберт Де Ниро', 'Мишель Пфайффер']
127	2012	99	6.891	Порочные игры	Пак Чхан-ук	Stoker	31139	['Миа Васиковска', 'Мэттью Гуд']
128	2015	119	6.876	Девушка из Дании	Том Хупер	The Danish Girl	35709	['Эдди Редмэйн', 'Алисия Викандер']
129	2016	118	6.876	Женщины ХХ века	Майк Миллс	20th Century Women	3135	['Аннетт Бенинг', 'Эль Фаннинг']
130	2016	134	6.875	Сноуден	Оливер Стоун	Snowden	30138	['Джозеф Гордон-Левитт', 'Шейлин Вудли']
131	2017	122	6.865	Джон Уик 2	Чад Стахелски	John Wick: Chapter Two	56822	['Киану Ривз', 'Риккардо Скамарчо']
132	2013	100	6.861000000000001	Исчезновение Элеанор Ригби: Она	Нед Бенсон	The Disappearance of Eleanor Rigby: Her	2116	['Джессика Честейн', 'Джеймс МакЭвой']
133	2014	94	6.858	Город грехов 2: Женщина, ради которой стоит убивать	Роберт Родригес	Sin City: A Dame to Kill For	69108	['Микки Рурк', 'Джессика Альба']
134	2014	111	6.857	Искатель воды	Рассел Кроу	The Water Diviner	18219	['Рассел Кроу', 'Ольга Куриленко']
135	2014	101	6.856	Джон Уик	Чад Стахелски	John Wick	99338	['Киану Ривз', 'Микаэл Нюквист']
136	2015	103	6.853	Наркотик	Рик Фамуйива	Dope	9614	['Шамеик Мур', 'Тони Револори']
137	2017	118	6.848	Телохранитель киллера	Патрик Хьюз	The Hitman's Bodyguard	28406	['Райан Рейнольдс', 'Сэмюэл Л. Джексон']
138	2016	114	6.847	Парни со стволами	Тодд Филлипс	War Dogs	53141	['Майлз Теллер', 'Джона Хилл']
139	2013	85	6.845	Лок	Стивен Найт	Locke	30544	['Том Харди', 'Оливия Колман']
140	2012	115	6.8420000000000005	Код доступа «Кейптаун»	Даниэль Эспиноса	Safe House	44261	['Дензел Вашингтон', 'Райан Рейнольдс']
141	2017	104	6.84	Прочь	Джордан Пил	Get Out	43749	['Дэниэл Калуя', 'Эллисон Уильямс']
142	2012	91	6.814	Реальные парни	Фишер Стивенс	Stand Up Guys	18849	['Аль Пачино', 'Кристофер Уокен']
143	2014	95	6.814	&#8203;С 5 до 7. Время любовников	Виктор Левин	5 to 7	4862	['Антон Ельчин', 'Беренис Марло']
144	2013	99	6.807	Экстрасенс 2: Лабиринты разума	Хорхе С. Дорадо	Mindscape	8355	['Таисса Фармига', 'Марк Стронг']
145	2012	95	6.805	Судья Дредд 3D	Пит Трэвис	Dredd	56755	['Карл Урбан', 'Рэйчел Вуд']
146	2017	75	6.805	Темная Вселенная (видео)	Джей Олива	Justice League Dark	2167	['Мэтт Райан', 'Камилла Ладдингтон']
147	2016	120	6.79	Золото	Стивен Гейган	Gold	16542	['Мэттью МакКонахи', 'Эдгар Рамирес']
148	2013	95	6.789	Короли лета	Джордан Вот-Робертс	The Kings of Summer	10447	['Ник Дж. Робинсон', 'Гэбриел Бассо']
149	2013	89	6.784	Исчезновение Элеанор Ригби: Он	Нед Бенсон	The Disappearance of Eleanor Rigby: Him	2602	['Джеймс МакЭвой', 'Джессика Честейн']
150	2013	126	6.78	Сквозь снег	Пон Джун-хо	Snowpiercer	41854	['Крис Эванс', 'Сон Кан-хо']
151	2013	98	6.78	Лофт	Эрик Ван Лой	The Loft	38424	['Карл Урбан', 'Джеймс Марсден']
152	2015	100	6.757999999999999	Земля картелей	Мэтт Хейнеман	Cartel Land	1012	"['Tim Nailer Foley', ""José Manuel 'El Doctor' Mireles""]"
153	2014	118	6.754	Кэрол	Тодд Хейнс	Carol	17964	['Кейт Бланшетт', 'Руни Мара']
154	2013	117	6.749	Китайская головоломка	Седрик Клапиш	Casse-tête chinois	4994	['Ромен Дюрис', 'Одри Тоту']
155	2015	90	6.742000000000001	Аномализа	Дьюк Джонсон	Anomalisa	3547	['Дэвид Тьюлис', 'Дженнифер Джейсон Ли']
156	2015	101	6.736000000000001	Шафер напрокат	Джереми Гарелик	The Wedding Ringer	14499	['Кевин Харт', 'Джош Гад']
157	2012	115	6.729	Нет	Пабло Ларраин	No	1739	['Гаэль Гарсиа Берналь', 'Альфредо Кастро']
158	2013	93	6.727	Взрослый мир	Скотт Коффи	Adult World	6875	['Эмма Робертс', 'Эван Питерс']
159	2015	88	6.727	Мандарин	Шон Бэйкер	Tangerine	585	['Китана Кики Родригес', 'Миа Тейлор']
160	2014	91	6.726	Возлюбленные	Чарли МакДауэлл	The One I Love	1382	['Марк Дюпласс', 'Элизабет Мосс']
161	2015	92	6.722	128 ударов сердца в минуту	Макс Джозеф	We Are Your Friends	18706	['Зак Эфрон', 'Уэс Бентли']
162	2016	97	6.715	Человек – швейцарский нож	Дэн Кван	Swiss Army Man	45153	['Пол Дано', 'Дэниэл Рэдклифф']
163	2012	106	6.709	Третий лишний	Сет МакФарлейн	Ted	129295	['Марк Уолберг', 'Мила Кунис']
164	2012	157	6.707000000000001	Цель номер один	Кэтрин Бигелоу	Zero Dark Thirty	19214	['Джессика Честейн', 'Джейсон Кларк']
165	2014	112	6.706	99 домов	Рамин Бахрани	99 Homes	1395	['Эндрю Гарфилд', 'Майкл Шеннон']
166	2016	72	6.704	Бэтмен: Убийственная шутка (видео)	Сэм Лью	Batman: The Killing Joke	6304	['Кевин Конрой', 'Марк Хэмилл']
167	2014	91	6.704	Дорога чести	Джейсон Момоа	Road to Paloma	906	['Ти Александр', 'Henree Alyse']
168	2015	95	6.702999999999999	Иррациональный человек	Вуди Аллен	Irrational Man	27918	['Хоакин Феникс', 'Эмма Стоун']
169	2013	99	6.697	Миддлтон	Адам Роджерс	At Middleton	2612	['Энди Гарсиа', 'Вера Фармига']
170	2013	117	6.696000000000001	Копы в юбках	Пол Фиг	The Heat	55101	['Сандра Буллок', 'Мелисса МакКарти']
171	2012	96	6.696000000000001	Уже не дети	Ребекка Томас	Electrick Children	2656	['Джулия Гарнер', 'Лиам Эйкен']
172	2016	104	6.692	Почти семнадцать	Келли Фрэмон	The Edge of Seventeen	10450	['Хейли Стайнфелд', 'Хейли Лу Ричардсон']
173	2014	107	6.682	Общак	Михаэль Р. Роскам	The Drop	25757	['Том Харди', 'Нуми Рапас']
174	2013	137	6.675	Третья персона	Пол Хаггис	Third Person	9164	['Лиам Нисон', 'Мила Кунис']
175	2014	112	6.672999999999999	Мачо и ботан 2	Фил Лорд	22 Jump Street	71134	['Джона Хилл', 'Ченнинг Татум']
176	2012	130	6.671	Особо опасны	Оливер Стоун	Savages	30688	['Тейлор Китч', 'Блейк Лайвли']
177	2014	103	6.67	Выхода нет	Джон Эрик Даудл	No Escape	13644	['Оуэн Уилсон', 'Лэйк Белл']
178	2013	98	6.665	Пало-Альто	Джиа Коппола	Palo Alto	7805	['Джек Килмер', 'Нат Вулф']
179	2012	94	6.662000000000001	Защитник	Боаз Якин	Safe	39406	['Джейсон Стэйтем', 'Катрин Чан']
180	2013	118	6.662000000000001	Джо	Дэвид Гордон Грин	Joe	10229	['Николас Кейдж', 'Тай Шеридан']
181	2013	109	6.659	Армагеддец	Эдгар Райт	The World's End	43964	['Саймон Пегг', 'Ник Фрост']
182	2016	118	6.657	Бриджит Джонс 3	Шэрон Магуайр	Bridget Jones's Baby	26268	['Рене Зеллвегер', 'Колин Фёрт']
183	2012	137	6.65	Мастер	Пол Томас Андерсон	The Master	20134	['Хоакин Феникс', 'Филип Сеймур Хоффман']
184	2015	122	6.648	Стив Джобс	Дэнни Бойл	Steve Jobs	30258	['Майкл Фассбендер', 'Сет Роген']
185	2016	117	6.645	Пазманский дьявол	Бен Янгер	Bleed for This	7250	['Майлз Теллер', 'Аарон Экхарт']
186	2014	117	6.645	Лагерь 'X-Ray'	Питер Сэттлер	Camp X-Ray	6564	['Кристен Стюарт', 'Пейман Моаади']
187	2015	101	6.643	Шеф Адам Джонс	Джон Уэллс	Burnt	34551	['Брэдли Купер', 'Сиенна Миллер']
188	2013	89	6.64	Плохие слова	Джейсон Бейтман	Bad Words	4675	['Джейсон Бейтман', 'Кэтрин Хан']
189	2012	118	6.638999999999999	Одним меньше	Нильс Арден Оплев	Dead Man Down	17679	['Колин Фаррелл', 'Нуми Рапас']
190	2016	130	6.638	День патриота	Питер Берг	Patriots Day	3297	['Марк Уолберг', 'Кевин Бейкон']
191	2012	89	6.6339999999999995	Селеста и Джесси навеки	Ли Толанд Кригер	Celeste & Jesse Forever	2307	['Рашида Джонс', 'Энди Сэмберг']
192	2013	107	6.632999999999999	Возвращение героя	Ким Чжи Ун	The Last Stand	37898	['Арнольд Шварценеггер', 'Форест Уитакер']
193	2012	89	6.63	Извлечение	Нир Панири	Extracted	3376	['Саша Ройз', 'Дженни Моллен']
194	2015	129	6.627000000000001	Песня за песней	Терренс Малик	Song to Song	2969	['Натали Портман', 'Майкл Фассбендер']
195	2014	0	6.626	Мужчины, женщины и дети	Джейсон Райтман	Men	9435	['Адам Сэндлер', 'Дженнифер Гарнер']
196	2015	120	6.625	Багровый пик	Гильермо дель Торо	Crimson Peak	70682	['Миа Васиковска', 'Джессика Честейн']
197	2012	110	6.625	Синистер	Скотт Дерриксон	Sinister	62853	['Итан Хоук', 'Джульет Райлэнс']
198	2016	108	6.619	Девятая жизнь Луи Дракса	Александр Ажа	The 9th Life of Louis Drax	12066	['Джейми Дорнан', 'Эйден Лонгуорт']
199	2013	86	6.6160000000000005	Живописный маршрут	Кевин Гетц	Scenic Route	1694	['Джош Дюамель', 'Дэн Фоглер']
200	2014	125	6.612	Самый жестокий год	Джей Си Чендор	A Most Violent Year	2862	['Оскар Айзек', 'Джессика Честейн']
201	2012	118	6.604	Паркер	Тейлор Хэкфорд	Parker	40279	['Джейсон Стэйтем', 'Дженнифер Лопез']
202	2013	109	6.602	Элизиум: Рай не на Земле	Нил Бломкамп	Elysium	96516	['Мэтт Дэймон', 'Алиси Брага']
203	2013	119	6.6	Риддик	Дэвид Туи	Riddick	60833	['Вин Дизель', 'Хорди Молья']
204	2014	102	6.596	Торт	Даниел Барнз	Cake	4691	['Дженнифер Энистон', 'Адриана Барраса']
205	2012	100	6.593999999999999	В финале Джон умрет	Дон Коскарелли	John Dies at the End	6570	['Чейз Уильямсон', 'Роб Майес']
206	2015	103	6.593	Эшби	Тони МакНамара	Ashby	14170	['Микки Рурк', 'Нат Вулф']
207	2014	103	6.593	Дальше живите сами	Шон Леви	This Is Where I Leave You	7591	['Джейсон Бейтман', 'Тина Фей']
208	2014	101	6.5920000000000005	Экстрасенсы	Афонсо Пойарт	Solace	27435	['Энтони Хопкинс', 'Колин Фаррелл']
209	2013	107	6.5920000000000005	Тереза Ракен	Чарльз Стрэттон	In Secret	915	['Элизабет Олсен', 'Оскар Айзек']
210	2013	103	6.591	Опасная иллюзия	Фредрик Бонд	The Necessary Death of Charlie Countryman	16268	['Шайа ЛаБаф', 'Эван Рэйчел Вуд']
211	2012	98	6.587999999999999	Полной грудью	Дрейк Доримус	Breathe In	2326	['Гай Пирс', 'Фелисити Джонс']
212	2015	123	6.586	Черная месса	Скотт Купер	Black Mass	42929	['Джонни Депп', 'Джоэл Эдгертон']
213	2013	92	6.586	Прежде чем я усну	Роуэн Жоффе	Before I Go to Sleep	31590	['Николь Кидман', 'Колин Фёрт']
214	2014	122	6.586	Самый опасный человек	Антон Корбейн	A Most Wanted Man	16375	['Филип Сеймур Хоффман', 'Рэйчел МакАдамс']
215	2016	144	6.582999999999999	13 часов: Тайные солдаты Бенгази	Майкл Бэй	13 Hours	12301	['Джон Красински', 'Джеймс Бэдж Дэйл']
